Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.76,-8.19926E+07,18373.6
-4.7596,-8.19926E+07,18373.6
-4.7592,-8.19926E+07,18374.4
-4.7588,-8.19926E+07,18373.6
-4.7584,-8.19928E+07,18372.8
-4.758,-8.19928E+07,18374.4
-4.7576,-8.19928E+07,18374.4
-4.7572,-8.19928E+07,18374.4
-4.7568,-8.19928E+07,18372.8
-4.7564,-8.19928E+07,18374.4
-4.756,-8.19928E+07,18372.8
-4.7556,-8.19928E+07,18372.8
-4.7552,-8.19928E+07,18372
-4.7548,-8.19928E+07,18374.4
-4.7544,-8.19928E+07,18372
-4.754,-8.1993E+07,18372.8
-4.7536,-8.19928E+07,18372.8
-4.7532,-8.19928E+07,18372
-4.7528,-8.1993E+07,18373.6
-4.7524,-8.19928E+07,18373.6
-4.752,-8.1993E+07,18373.6
-4.7516,-8.19928E+07,18372
-4.7512,-8.19928E+07,18372.8
-4.7508,-8.1993E+07,18372
-4.7504,-8.1993E+07,18372.8
-4.75,-8.1993E+07,18372.8
-4.7496,-8.19928E+07,18372.8
-4.7492,-8.1993E+07,18372.8
-4.7488,-8.1993E+07,18372.8
-4.7484,-8.1993E+07,18372
-4.748,-8.1993E+07,18372.8
-4.7476,-8.1993E+07,18372.8
-4.7472,-8.1993E+07,18372.8
-4.7468,-8.1993E+07,18372
-4.7464,-8.1993E+07,18369.6
-4.746,-8.19932E+07,18370.4
-4.7456,-8.1993E+07,18370.4
-4.7452,-8.19932E+07,18371.2
-4.7448,-8.19932E+07,18370.4
-4.7444,-8.19932E+07,18371.2
-4.744,-8.19932E+07,18371.2
-4.7436,-8.19932E+07,18370.4
-4.7432,-8.19932E+07,18370.4
-4.7428,-8.19932E+07,18370.4
-4.7424,-8.19932E+07,18368.8
-4.742,-8.19932E+07,18371.2
-4.7416,-8.19932E+07,18368
-4.7412,-8.19932E+07,18372
-4.7408,-8.19932E+07,18368.8
-4.7404,-8.19932E+07,18369.6
-4.74,-8.19934E+07,18368
-4.7396,-8.19934E+07,18368
-4.7392,-8.19932E+07,18369.6
-4.7388,-8.19934E+07,18369.6
-4.7384,-8.19934E+07,18367.2
-4.738,-8.19934E+07,18370.4
-4.7376,-8.19934E+07,18366.4
-4.7372,-8.19934E+07,18366.4
-4.7368,-8.19934E+07,18368.8
-4.7364,-8.19934E+07,18368
-4.736,-8.19936E+07,18367.2
-4.7356,-8.19936E+07,18365.6
-4.7352,-8.19936E+07,18367.2
-4.7348,-8.19936E+07,18365.6
-4.7344,-8.19936E+07,18366.4
-4.734,-8.19934E+07,18367.2
-4.7336,-8.19936E+07,18364.8
-4.7332,-8.19936E+07,18365.6
-4.7328,-8.19936E+07,18366.4
-4.7324,-8.19936E+07,18367.2
-4.732,-8.19936E+07,18364
-4.7316,-8.19936E+07,18364
-4.7312,-8.19936E+07,18364
-4.7308,-8.19938E+07,18363.2
-4.7304,-8.19938E+07,18364
-4.73,-8.19936E+07,18361.6
-4.7296,-8.19938E+07,18361.6
-4.7292,-8.19938E+07,18360
-4.7288,-8.19938E+07,18360.8
-4.7284,-8.19938E+07,18362.4
-4.728,-8.19938E+07,18360
-4.7276,-8.19938E+07,18360.8
-4.7272,-8.19938E+07,18360.8
-4.7268,-8.19938E+07,18359.2
-4.7264,-8.19938E+07,18359.2
-4.726,-8.19938E+07,18360
-4.7256,-8.1994E+07,18360
-4.7252,-8.1994E+07,18358.4
-4.7248,-8.1994E+07,18357.6
-4.7244,-8.19938E+07,18356.8
-4.724,-8.1994E+07,18357.6
-4.7236,-8.1994E+07,18358.4
-4.7232,-8.1994E+07,18354.4
-4.7228,-8.1994E+07,18357.6
-4.7224,-8.1994E+07,18355.2
-4.722,-8.1994E+07,18355.2
-4.7216,-8.1994E+07,18357.6
-4.7212,-8.1994E+07,18357.6
-4.7208,-8.19942E+07,18357.6
-4.7204,-8.1994E+07,18355.2
-4.72,-8.1994E+07,18356
-4.7196,-8.1994E+07,18357.6
-4.7192,-8.19942E+07,18356.8
-4.7188,-8.19942E+07,18358.4
-4.7184,-8.19942E+07,18355.2
-4.718,-8.19942E+07,18356
-4.7176,-8.19942E+07,18356.8
-4.7172,-8.19942E+07,18357.6
-4.7168,-8.19942E+07,18356
-4.7164,-8.19944E+07,18355.2
-4.716,-8.19942E+07,18357.6
-4.7156,-8.19942E+07,18356
-4.7152,-8.19942E+07,18359.2
-4.7148,-8.19944E+07,18358.4
-4.7144,-8.19944E+07,18358.4
-4.714,-8.19944E+07,18359.2
-4.7136,-8.19944E+07,18356
-4.7132,-8.19944E+07,18360
-4.7128,-8.19944E+07,18360.8
-4.7124,-8.19944E+07,18361.6
-4.712,-8.19944E+07,18360
-4.7116,-8.19944E+07,18360.8
-4.7112,-8.19944E+07,18360.8
-4.7108,-8.19946E+07,18364
-4.7104,-8.19944E+07,18361.6
-4.71,-8.19946E+07,18361.6
-4.7096,-8.19946E+07,18362.4
-4.7092,-8.19946E+07,18361.6
-4.7088,-8.19946E+07,18364
-4.7084,-8.19946E+07,18362.4
-4.708,-8.19946E+07,18363.2
-4.7076,-8.19946E+07,18364
-4.7072,-8.19948E+07,18364
-4.7068,-8.19946E+07,18364
-4.7064,-8.19948E+07,18364.8
-4.706,-8.19948E+07,18363.2
-4.7056,-8.19948E+07,18364.8
-4.7052,-8.19948E+07,18364
-4.7048,-8.19948E+07,18366.4
-4.7044,-8.19948E+07,18364
-4.704,-8.19948E+07,18364
-4.7036,-8.19948E+07,18364.8
-4.7032,-8.19948E+07,18364.8
-4.7028,-8.19948E+07,18365.6
-4.7024,-8.19948E+07,18364.8
