Model,TBS 1062
Firmware Version,CF:91.1CT FV:v26.02
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,"s"
Horizontal Scale,0.1
Horizontal Delay,0
Sample Interval,0.0004
Record Length,2500
Gating,0.0% to 100.0%
Probe Attenuation,10X
Vertical Units,"Volts"
Vertical Offset,0
Vertical Scale,5
Vertical Position,1.2
,
,
,
Label,
TIME,CH1
-4.96,-5.4
-4.9596,-5.6
-4.9592,-5.6
-4.9588,-5.4
-4.9584,-5.6
-4.958,-5.6
-4.9576,-5.6
-4.9572,-5.6
-4.9568,-5.6
-4.9564,-5.6
-4.956,-5.6
-4.9556,-5.6
-4.9552,-5.6
-4.9548,-5.6
-4.9544,-5.6
-4.954,-5.6
-4.9536,-5.6
-4.9532,-5.6
-4.9528,-5.6
-4.9524,-5.6
-4.952,-5.6
-4.9516,-5.6
-4.9512,-5.6
-4.9508,-5.6
-4.9504,-5.6
-4.95,-5.6
-4.9496,-5.8
-4.9492,-5.8
-4.9488,-5.8
-4.9484,-5.6
-4.948,-5.6
-4.9476,-5.6
-4.9472,-5.6
-4.9468,-5.8
-4.9464,-5.6
-4.946,-5.6
-4.9456,-5.8
-4.9452,-5.6
-4.9448,-5.6
-4.9444,-5.8
-4.944,-5.8
-4.9436,-5.8
-4.9432,-6
-4.9428,-5.8
-4.9424,-5.8
-4.942,-5.8
-4.9416,-5.8
-4.9412,-6
-4.9408,-5.8
-4.9404,-5.8
-4.94,-5.8
-4.9396,-6
-4.9392,-5.8
-4.9388,-5.8
-4.9384,-6
-4.938,-5.8
-4.9376,-5.8
-4.9372,-6
-4.9368,-6
-4.9364,-5.8
-4.936,-6
-4.9356,-5.8
-4.9352,-6
-4.9348,-6.2
-4.9344,-6
-4.934,-6
-4.9336,-6
-4.9332,-6
-4.9328,-6.2
-4.9324,-6
-4.932,-6.2
-4.9316,-6
-4.9312,-6
-4.9308,-6
-4.9304,-6.2
-4.93,-6
-4.9296,-6.2
-4.9292,-6.2
-4.9288,-6.2
-4.9284,-6.2
-4.928,-6.2
-4.9276,-6
-4.9272,-6
-4.9268,-6.2
-4.9264,-6.2
-4.926,-6
-4.9256,-6.2
-4.9252,-6.2
-4.9248,-6.2
-4.9244,-6.2
-4.924,-6.2
-4.9236,-6.2
-4.9232,-6.2
-4.9228,-6.2
-4.9224,-6.2
-4.922,-6.2
-4.9216,-6.2
-4.9212,-6.2
-4.9208,-6.2
-4.9204,-6.2
-4.92,-6.4
-4.9196,-6.2
-4.9192,-6.2
-4.9188,-6.4
-4.9184,-6.4
-4.918,-6.2
-4.9176,-6.4
-4.9172,-6.4
-4.9168,-6.4
-4.9164,-6.2
-4.916,-6.4
-4.9156,-6.4
-4.9152,-6.6
-4.9148,-6.4
-4.9144,-6.6
-4.914,-6.4
-4.9136,-6.6
-4.9132,-6.6
-4.9128,-6.4
-4.9124,-6.6
-4.912,-6.6
-4.9116,-6.4
-4.9112,-6.6
-4.9108,-6.4
-4.9104,-6.6
-4.91,-6.6
-4.9096,-6.6
-4.9092,-6.6
-4.9088,-6.6
-4.9084,-6.6
-4.908,-6.6
-4.9076,-6.6
-4.9072,-6.6
-4.9068,-6.6
-4.9064,-6.8
-4.906,-6.6
-4.9056,-6.8
-4.9052,-6.8
-4.9048,-6.8
-4.9044,-6.6
-4.904,-6.8
-4.9036,-6.8
-4.9032,-6.8
-4.9028,-6.8
-4.9024,-6.8
-4.902,-6.8
-4.9016,-6.8
-4.9012,-6.8
-4.9008,-6.8
-4.9004,-7
-4.9,-6.8
-4.8996,-6.8
-4.8992,-6.8
-4.8988,-6.8
-4.8984,-7
-4.898,-6.8
-4.8976,-6.8
-4.8972,-7
-4.8968,-7
-4.8964,-6.8
-4.896,-7
-4.8956,-7
-4.8952,-7
-4.8948,-7.2
-4.8944,-7
-4.894,-7
-4.8936,-7
-4.8932,-7.2
-4.8928,-7.2
-4.8924,-7.2
-4.892,-7.2
-4.8916,-7.2
-4.8912,-7.4
-4.8908,-7.2
-4.8904,-7.2
-4.89,-7.2
-4.8896,-7.2
-4.8892,-7.2
-4.8888,-7.4
-4.8884,-7.4
-4.888,-7.4
-4.8876,-7.4
-4.8872,-7.4
-4.8868,-7.2
-4.8864,-7.4
-4.886,-7.4
-4.8856,-7.4
-4.8852,-7.4
-4.8848,-7.4
-4.8844,-7.4
-4.884,-7.4
-4.8836,-7.6
-4.8832,-7.4
-4.8828,-7.6
-4.8824,-7.4
-4.882,-7.4
-4.8816,-7.4
-4.8812,-7.6
-4.8808,-7.6
-4.8804,-7.6
-4.88,-7.6
-4.8796,-7.6
-4.8792,-7.6
-4.8788,-7.6
-4.8784,-7.8
-4.878,-7.8
-4.8776,-7.8
-4.8772,-7.8
-4.8768,-7.8
-4.8764,-7.8
-4.876,-7.6
-4.8756,-8
-4.8752,-7.8
-4.8748,-7.8
-4.8744,-7.8
-4.874,-7.8
-4.8736,-7.8
-4.8732,-7.8
-4.8728,-8
-4.8724,-8
-4.872,-7.8
-4.8716,-8
-4.8712,-8
-4.8708,-8.2
-4.8704,-8.2
-4.87,-8.2
-4.8696,-8.2
-4.8692,-8.2
-4.8688,-8.2
-4.8684,-8.2
-4.868,-8.2
-4.8676,-8.2
-4.8672,-8.2
-4.8668,-8.2
-4.8664,-8.2
-4.866,-8.400001
-4.8656,-8.2
-4.8652,-8.400001
-4.8648,-8.400001
-4.8644,-8.400001
-4.864,-8.400001
-4.8636,-8.400001
-4.8632,-8.400001
-4.8628,-8.6
-4.8624,-8.2
-4.862,-8.400001
-4.8616,-8.6
-4.8612,-8.400001
-4.8608,-8.6
-4.8604,-8.6
-4.86,-8.6
-4.8596,-8.6
-4.8592,-8.6
-4.8588,-8.8
-4.8584,-8.6
-4.858,-8.8
-4.8576,-8.6
-4.8572,-8.8
-4.8568,-8.8
-4.8564,-8.8
-4.856,-8.8
-4.8556,-9
-4.8552,-9
-4.8548,-8.8
-4.8544,-8.8
-4.854,-8.8
-4.8536,-9
-4.8532,-9
-4.8528,-9
-4.8524,-9
-4.852,-9
-4.8516,-9
